Jugador                      ,País    ,Posc    ,Equipo      ,Edad    ,Nacimiento ,PJ ,Titular ,Mín    ,90 s ,Gls. ,Gls. ,Ass ,TP ,TA ,TR
Diber Cambindo               ,co COL  ,DL      ,Necaxa      ,28-282  ,1996       ,16 ,     14 ,1235.0 ,13.7 , 5.0 ,0.36 ,0.0 , 0 , 2 , 0
Diego Campillo               ,mx MEX  ,CC      ,FC Juárez   ,23-037  ,2001       ,17 ,     15 ,1251.0 ,13.9 , 1.0 ,0.07 ,0.0 , 0 , 4 , 0
Sergio Canales               ,es ESP  ,"CC,DL" ,Monterrey   ,33-283  ,1991       ,17 ,     17 ,1504.0 ,16.7 , 8.0 ,0.48 ,2.0 , 2 , 3 , 0
Camilo Cándido               ,uy URU  ,"DF,DL" ,Cruz Azul   ,29-176  ,1995       ,11 ,      1 , 229.0 , 2.5 , 0.0 ,0.00 ,0.0 , 0 , 0 , 1
Luis Cárdenas                ,mx MEX  ,PO      ,Monterrey   ,31-071  ,1993       , 1 ,      1 ,  90.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Rafael Carioca               ,br BRA  ,CC      ,UANL        ,35-160  ,1989       ,13 ,     13 ,1027.0 ,11.4 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Héctor Carranza              ,mx MEX  ,CC      ,Santos      ,20-327  ,2004       , 1 ,      0 ,   7.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jordan Carrillo              ,mx MEX  ,"CC,DL" ,Santos      ,22-361  ,2001       ,13 ,      9 , 851.0 , 9.5 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Stephano Carrillo            ,mx MEX  ,"DL,DF" ,Santos      ,18-263  ,2006       , 8 ,      1 , 183.0 , 2.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Guilherme Carvalho           ,br BRA  ,CC      ,FC Juárez   ,25-067  ,1999       ,12 ,     11 , 967.0 ,10.7 , 1.0 ,0.09 ,2.0 , 0 , 2 , 0
Kevin Castañeda              ,mx MEX  ,"CC,DL" ,Tijuana     ,25-028  ,1999       ,14 ,     11 , 896.0 ,10.0 , 3.0 ,0.30 ,0.0 , 1 , 2 , 0
Klever Castillo              ,mx MEX  ,DL      ,Toluca      ,19-105  ,2005       , 3 ,      0 ,  70.0 , 0.8 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Moises Castillo              ,co COL  ,DF      ,FC Juárez   ,23-185  ,2001       ,10 ,      6 , 573.0 , 6.4 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
José Castillo Pérez          ,mx MEX  ,DF      ,Guadalajara ,22-359  ,2001       ,16 ,     16 ,1385.0 ,15.4 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Raúl Castillo                ,mx MEX  ,"CC,DL" ,Puebla      ,22-359  ,2001       ,15 ,     11 , 785.0 , 8.7 , 1.0 ,0.11 ,0.0 , 0 , 3 , 0
Manuel Castro                ,uy URU  ,"CC,DL" ,FC Juárez   ,29-059  ,1995       , 1 ,      1 ,  90.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Lucas Cavallini              ,ca CAN  ,DL      ,Puebla      ,31-333  ,1992       , 4 ,      4 , 328.0 , 3.6 , 4.0 ,1.10 ,0.0 , 2 , 1 , 0
Alan Cervantes               ,mx MEX  ,CC      ,Santos      ,26-313  ,1998       , 1 ,      1 ,  90.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Alan Cervantes               ,mx MEX  ,CC      ,América     ,26-313  ,1998       ,12 ,      6 , 660.0 , 7.3 , 1.0 ,0.14 ,0.0 , 0 , 0 , 0
Luís Cervantes               ,mx MEX  ,DF      ,León        ,23-290  ,2001       , 1 ,      1 ,  33.0 , 0.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Mateo Chávez                 ,mx MEX  ,DF      ,Guadalajara ,20-197  ,2004       ,12 ,      7 , 691.0 , 7.7 , 0.0 ,0.00 ,2.0 , 0 , 1 , 0
Ricardo Chávez Soto          ,mx MEX  ,DF      ,Atlético    ,30-006  ,1994       ,17 ,     13 ,1229.0 ,13.7 , 1.0 ,0.07 ,2.0 , 0 , 3 , 0
Ronaldo Cisneros             ,mx MEX  ,"DL,DF" ,Querétaro   ,27-322  ,1997       , 9 ,      2 , 318.0 , 3.5 , 2.0 ,0.57 ,0.0 , 0 , 0 , 0
Josué Colmán                 ,py PAR  ,"CC,DF" ,Mazatlán    ,26-123  ,1998       ,15 ,      5 , 552.0 , 6.1 , 2.0 ,0.33 ,0.0 , 0 , 0 , 0
Bryan Colula                 ,mx MEX  ,"DF,CC" ,Mazatlán    ,28-233  ,1996       ,16 ,     16 ,1314.0 ,14.6 , 0.0 ,0.00 ,0.0 , 0 , 4 , 0
Francisco Contreras          ,mx MEX  ,"DF,CC" ,Tijuana     ,25-163  ,1999       ,10 ,      5 , 482.0 , 5.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jesús Corona                 ,mx MEX  ,"CC,DL" ,Monterrey   ,31-324  ,1993       ,14 ,      6 , 586.0 , 6.5 , 1.0 ,0.15 ,1.0 , 0 , 1 , 0
Joe Corona                   ,us USA  ,CC      ,Tijuana     ,34-139  ,1990       ,10 ,      8 , 554.0 , 6.2 , 1.0 ,0.16 ,1.0 , 0 , 2 , 0
José Corona                  ,mx MEX  ,PO      ,Tijuana     ,43-304  ,1981       , 8 ,      7 , 640.0 , 7.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
