Player                       ,Country ,Position ,Team        ,Age  ,Matches_Played ,Minutes ,Goals                 ,Assists               ,Shots_on_Target ,Yellow_Cards          ,Red_Cards
Nicolás Díaz Huincales       ,cl CHI  ,DF       ,Tijuana     ,25.0 ,           9.0 ,  679.0 ,0.0                   ,0.0                   ,            0.0 ,0.0029455081001472753 ,      0.0
Jair Díaz                    ,mx MEX  ,DF       ,Mazatlán    ,26.0 ,          12.0 ,  931.0 ,0.0                   ,0.0                   ,            0.0 ,0.004296455424274973  ,      0.0
Javairô Dilrosun             ,nl NED  ,"DL,CC"  ,América     ,26.0 ,          11.0 ,  612.0 ,0.0016339869281045752 ,0.0016339869281045752 ,            0.0 ,0.004901960784313725  ,      0.0
Willer Ditta                 ,co COL  ,DF       ,Cruz Azul   ,27.0 ,          17.0 , 1530.0 ,0.0                   ,0.0                   ,            0.0 ,0.00196078431372549   ,      0.0
Alexei Dominguez             ,mx MEX  ,DL       ,Pachuca     ,19.0 ,           3.0 ,   69.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Idekel Domínguez             ,mx MEX  ,DF       ,Atlas       ,24.0 ,           2.0 ,  143.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Joel Domínguez               ,mx MEX  ,CC       ,Monterrey   ,19.0 ,           1.0 ,    4.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Jose Domínguez               ,py PAR  ,DF       ,Querétaro   ,28.0 ,          10.0 ,  846.0 ,0.0                   ,0.0                   ,            0.0 ,0.00591016548463357   ,      0.0
Juan Domínguez               ,mx MEX  ,"DL,CC"  ,Toluca      ,26.0 ,          17.0 ,  764.0 ,0.0                   ,0.0013089005235602095 ,            0.0 ,0.0013089005235602095 ,      0.0
Julio Domínguez              ,mx MEX  ,DF       ,Atlético    ,37.0 ,          14.0 , 1193.0 ,0.0                   ,0.0008382229673093043 ,            0.0 ,0.002514668901927913  ,      0.0
Misael Domínguez             ,mx MEX  ,"DL,CC"  ,Querétaro   ,25.0 ,           2.0 ,   78.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Dória                        ,br BRA  ,DF       ,Atlas       ,30.0 ,          14.0 , 1180.0 ,0.0                   ,0.0                   ,            0.0 ,0.003389830508474576  ,      0.0
Jonathan dos Santos          ,mx MEX  ,CC       ,América     ,34.0 ,          14.0 ,  751.0 ,0.0                   ,0.0                   ,            0.0 ,0.0039946737683089215 ,      0.0
Rodrigo Dourado              ,br BRA  ,"CC,DF"  ,Atlético    ,30.0 ,          16.0 , 1415.0 ,0.0007067137809187279 ,0.0                   ,            0.0 ,0.0035335689045936395 ,      0.0
Anderson Duarte              ,uy URU  ,"CC,DL"  ,Toluca      ,20.0 ,           7.0 ,  136.0 ,0.007352941176470588  ,0.0                   ,            0.0 ,0.0                   ,      0.0
