Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Expectativa,Expectativa,Expectativa,Expectativa,Progresión,Progresión,Progresión,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Unnamed: 36_level_0
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
66,Paul Bellón,mx MEX,DF,León,27-177,1997,17,17,1530,17.0,0,0,0,0,0,0,4,0,0.6,0.6,0.3,0.8,8,33,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Partidos
67,Fernando Beltrán,mx MEX,"CC,DL",Guadalajara,26-204,1998,17,15,1256,14.0,1,1,2,1,0,0,3,0,0.9,0.9,1.7,2.6,46,110,66,0.07,0.07,0.14,0.07,0.14,0.06,0.12,0.18,0.06,0.18,Partidos
68,Nicolás Benedetti,co COL,CC,Mazatlán,27-217,1997,6,2,243,2.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,9,17,24,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.18,0.09,0.18,Partidos
69,Darío Benedetto,ar ARG,DL,Querétaro,34-195,1990,8,4,427,4.7,0,0,0,0,0,0,0,0,1.3,1.3,1.2,2.4,6,13,30,0.00,0.00,0.00,0.00,0.00,0.27,0.25,0.52,0.27,0.52,Partidos
70,Pablo Bennevendo Peña,mx MEX,DF,UNAM,24-330,2000,17,16,1358,15.1,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,14,51,32,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Partidos
71,Jorge Berlanga,mx MEX,DF,Pachuca,21-133,2003,7,6,529,5.9,0,0,0,0,0,0,4,1,0.0,0.0,0.1,0.1,1,15,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
72,Germán Berterame,mx MEX,DL,Monterrey,26-015,1998,15,15,1237,13.7,6,0,6,6,0,0,2,1,5.9,5.8,1.4,7.2,20,26,62,0.44,0.00,0.44,0.44,0.44,0.43,0.10,0.53,0.42,0.52,Partidos
73,Unai Bilbao,es ESP,DF,Tijuana,30-298,1994,15,12,1096,12.2,0,1,1,0,0,0,0,0,0.4,0.4,0.2,0.6,6,41,2,0.00,0.08,0.08,0.00,0.08,0.03,0.02,0.05,0.03,0.05,Partidos
74,Alfonso Blanco Antúnez,mx MEX,PO,León,37-120,1987,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
75,Domingo Blanco,ar ARG,"DL,CC",Tijuana,29-220,1995,14,10,887,9.9,3,0,3,3,0,0,2,0,2.1,2.1,0.4,2.6,33,23,84,0.30,0.00,0.30,0.30,0.30,0.21,0.05,0.26,0.21,0.26,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
76,Franck Boli,ci CIV,DL,Atlético,30-357,1993,14,9,813,9.0,4,0,4,3,1,1,1,0,5.5,4.7,0.2,4.9,16,12,50,0.44,0.00,0.44,0.33,0.33,0.61,0.03,0.63,0.52,0.54,Partidos
77,Léo Bonatini,br BRA,DL,Atlético,30-245,1994,11,5,462,5.1,2,0,2,1,1,1,0,0,2.4,1.6,0.3,1.8,4,10,26,0.39,0.00,0.39,0.19,0.19,0.46,0.05,0.51,0.31,0.36,Partidos
78,Cristian Borja,co COL,DF,América,31-284,1993,12,8,721,8.0,0,1,1,0,0,0,0,0,0.0,0.0,1.2,1.2,22,28,40,0.00,0.12,0.12,0.00,0.12,0.01,0.15,0.15,0.01,0.15,Partidos
79,Antonio Briseño,mx MEX,DF,Guadalajara,30-297,1994,7,6,541,6.0,0,1,1,0,0,0,2,0,0.2,0.2,0.8,1.0,1,14,0,0.00,0.17,0.17,0.00,0.17,0.03,0.14,0.17,0.03,0.17,Partidos
80,Isaác Brizuela,mx MEX,"CC,DL",Guadalajara,34-092,1990,3,0,48,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,4,0,8,0.00,0.00,0.00,0.00,0.00,0.27,0.58,0.85,0.27,0.85,Partidos
81,Juan Brunetta,ar ARG,CC,UANL,27-200,1997,15,10,809,9.0,4,2,6,4,0,0,1,1,4.5,4.5,2.1,6.6,39,58,74,0.44,0.22,0.67,0.44,0.67,0.50,0.24,0.74,0.50,0.74,Partidos
82,Gustavo Cabral,ar ARG,DF,Pachuca,39-045,1985,11,11,894,9.9,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,36,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
83,Luciano Cabral,cl CHI,"DL,CC",León,29-216,1995,15,13,1071,11.9,1,3,4,1,0,0,3,1,1.0,1.0,1.6,2.7,12,91,57,0.08,0.25,0.34,0.08,0.34,0.09,0.14,0.22,0.09,0.22,Partidos
84,Sebastián Cáceres,uy URU,DF,América,25-102,1999,3,3,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
